"","taxon","p_mean","n_mean","log2fold","glm.nb_est","glm.nb_stderr","glm.nb_zval","glm.nb_pval"
"306","Myrmecridiaceae",0.00228351235795179,0.00152016557184432,0.587026131124691,0.406895507704091,7.70897517863756,0.0527820492705236,0.957905564168305
"307","Myrmecridiales",0.00228351235795179,0.00152016557184432,0.587026131124691,0.406895507704091,7.70897517863756,0.0527820492705236,0.957905564168305
"308","Myrmecridium",0.00216210787678841,0.00152016557184432,0.508210040865675,0.3522643569583,7.72574512200274,0.0455961659872857,0.963632125094753
"309","Myrmecridium schulzeri",0.000396854596872754,0.00152016557184432,-1.93754604440152,-1.34300457788199,9.17162823349221,-0.146430333163495,0.883581682980199
"310","Mytilinidales",0.0291278263030727,0.0392566063504778,-0.430537417550019,-0.298425797100356,1.57238154361463,-0.189792228427158,0.84947194602868
"311","Myxotrichaceae",0.00195237622357859,0.00785132127009555,-2.00770437277144,-1.3916346253844,3.47722091146623,-0.400214614146442,0.688998451601624
"312","Naganishia",0.00966445477876089,0.00504795671039006,0.936988806641613,0.649471149539861,3.44093181835637,0.188748625030906,0.850289839227267
"313","Naganishia albida",0.00316593104044889,0.00806902599165436,-1.34976470559086,-0.935585600099631,4.83753667480175,-0.193401241787582,0.846644742988978
"314","Naganishia diffluens",0.000407435637992921,0.00403451299582718,-3.30775045492433,-2.29275790182668,8.21100673570186,-0.279229816224319,0.78006846323314
"315","Nectriaceae",0.0539532579316973,0.0304033114368863,0.827481612312093,0.573566546539326,1.69942419668033,0.337506402262446,0.735735186683871
"316","Niesslia",0.00248712740646822,0.00304033114368863,-0.289748052760506,-0.200838045843676,5.55927797409643,-0.036126642125018,0.971181378846129
"317","Niesslia mucida",0.00189532135579068,0.00304033114368863,-0.681785985048142,-0.472578033281407,5.79174956843642,-0.081595039235957,0.934968746258226
"318","Niessliaceae",0.00297560888373128,0.00760082785922159,-1.35297165111556,-0.937808485348285,3.72639748476473,-0.251666251166841,0.80129904517702
"319","Oberwinklerozyma",0.000205954030545018,0.00806902599165436,-5.29200027166096,-3.66813506782426,10.3614499216988,-0.354017545376782,0.723325734336832
"320","Oberwinklerozyma silvestris",0.000205954030545018,0.00806902599165436,-5.29200027166096,-3.66813506782426,10.3614499216988,-0.354017545376782,0.723325734336832
"321","Odontia",0.00112195711768502,0.00785132127009555,-2.80691792453527,-1.9456072454548,6.1376243877151,-0.316996792659563,0.751246035939242
"322","Odontia fibrosa",0.000560978558842509,0.00785132127009555,-3.80691792453527,-2.63875442601474,8.20855783557979,-0.321463828222921,0.747858919644756
"323","Oidiodendron",0.00181697581928538,0.00785132127009555,-2.11139624030262,-1.46350835101063,3.52120398955607,-0.41562725572032,0.67768277916597
"324","Oliveonia",0.00143236892876805,0.00304033114368863,-1.08582533733228,-0.752636771152421,5.74799947480135,-0.130938907432387,0.895823635949164
"325","Onygenaceae",0.00691621162371971,0.00608066228737727,0.185753547331663,0.128754547611949,3.92248811372346,0.03282471326337,0.973814370494716
"326","Onygenales",0.0270369356236927,0.0319234770087307,-0.239686148811095,-0.166137778267681,1.73197945553212,-0.0959236425911521,0.923581217089727
"327","Orbiliales",0.0265385851615626,0.00304033114368863,3.1257910877452,2.16663327948999,5.26433102830782,0.411568586367267,0.680655660511684
"328","Orbiliomycetes",0.0266315966592281,0.00304033114368863,3.1308385545286,2.17013191685988,5.26423021816671,0.412241073608601,0.680162734553498
"329","Panaeolus",0.000459311449042171,0.00152016557184432,-1.72668381570894,-1.19684601857714,8.81681327903877,-0.135745873333004,0.892022181663233
"330","Papiliotrema",0.0135230909334031,0.0127855887513316,0.080906346512093,0.056080005974264,2.22082454195531,0.0252518850160439,0.97985405187376
"331","Papiliotrema fusca",0.000647376392606809,0.00403451299582718,-2.63971787503819,-1.82971300255641,8.99543406493017,-0.203404637213648,0.838818775600075
"332","Papiliotrema horticola",0.00224391423537004,0.00403451299582718,-0.846377001206991,-0.586663832077407,7.49434634045677,-0.0782808540499945,0.937604646976892
"333","Papiliotrema nemorosa",0.000308931045817527,0.00403451299582718,-3.7070377709398,-2.56952277915615,9.95556417186573,-0.258099162920127,0.796330377592836
"334","Papiliotrema terrestris",0.00269024357383418,0.00152016557184432,0.823508333650508,0.570812479637468,8.15074471468962,0.0700319418186078,0.944168236147462
"335","Papulaspora",0.000539449180473601,0.00785132127009555,-3.86337650007364,-2.67788852846759,7.44931601939113,-0.359481128401164,0.719235192976282
"336","Paraglomeraceae",0.000102977015272509,0.00452165402495718,-5.45645634297313,-3.78212732998025,16.8519459728951,-0.224432675968905,0.822420647359337
"337","Paraglomerales",0.000102977015272509,0.00452165402495718,-5.45645634297313,-3.78212732998025,16.8519459728951,-0.224432675968905,0.822420647359337
"338","Paraglomeromycetes",0.000102977015272509,0.00452165402495718,-5.45645634297313,-3.78212732998025,16.8519459728951,-0.224432675968905,0.822420647359337
"339","Paraglomus",0.000102977015272509,0.00452165402495718,-5.45645634297313,-3.78212732998025,16.8519459728951,-0.224432675968905,0.822420647359337
"340","Parasola",0.00391379672363818,0.00152016557184432,1.36434036041556,0.945688674146184,7.5834123509811,0.12470489937473,0.900757178543192
"341","Penicillium",0.0125290317300491,0.0057894683587783,1.11377214632374,0.772008023010501,2.61007798779716,0.295779676553672,0.767398344681072
"342","Peniophora",0.0195175912857678,0.00304033114368863,2.68247464599449,1.8593497377946,5.27470367260381,0.352503164765794,0.72446094545658
"343","Peniophoraceae",0.0218070518272286,0.00304033114368863,2.84249436876891,1.97026695746968,5.27058993537695,0.373822851260913,0.708536117217425
"344","Periconia",0.0055984025262243,0.00304033114368863,0.880786754477801,0.610514855540821,5.37120125376025,0.113664490808907,0.909503762269911
"345","Periconiaceae",0.0055984025262243,0.00304033114368863,0.880786754477801,0.610514855540821,5.37120125376025,0.113664490808907,0.909503762269911
"346","Peziza",0.00783855621176772,0.00152016557184432,2.36635948175576,1.64023540297029,7.50346751718414,0.218596988554144,0.826963998857809
"347","Pezizaceae",0.0118955084924634,0.00304033114368863,1.96811657205194,1.36419445293109,5.31922944304032,0.256464675483402,0.797592053360007
"348","Pezizales",0.0407706580832583,0.0218169108477843,0.902084405102928,0.625277262024193,1.86243822227052,0.33573047124318,0.737074125468138
"349","Pezizomycetes",0.0407706580832583,0.0218169108477843,0.902084405102928,0.625277262024193,1.86243822227052,0.33573047124318,0.737074125468138
"350","Phaeosphaeriaceae",0.0709686133783904,0.00152016557184432,5.54488074716397,3.84341845643775,7.41150665032498,0.518574513627297,0.604057485737314
"351","Phenoliferia",0.000197525295674799,0.180580389212198,-9.83638809031945,-6.81806467169835,7.7399364317764,-0.880894143226643,0.378375117763682
"352","Phialocephala",0.000598018998800446,0.00785132127009555,-3.71467223624816,-2.57481458725972,5.23492997951051,-0.491852727226062,0.622823458883683
"353","Phlebia",0.0021078897202178,0.00785132127009555,-1.89713606972635,-1.31499451786939,3.59919689237724,-0.365357760964516,0.714844366929158
"354","Phlebia rufa",0.00032979979623019,0.00785132127009555,-4.57327304779286,-3.16995131900841,6.57403366955942,-0.482192741678011,0.629669032538825
"355","Pholiota",0.00169936931595719,0.00785132127009555,-2.20793603956062,-1.53042464067814,3.76227337036635,-0.406781881596528,0.684168195170302
"356","Physodermatales",0.000102977015272509,0.00304033114368863,-4.88383420090512,-3.38521590667961,14.1710381183666,-0.238882704174802,0.811196537417738
"357","Physodermatomycetes",0.000102977015272509,0.00304033114368863,-4.88383420090512,-3.38521590667961,14.1710381183666,-0.238882704174802,0.811196537417738
"358","Piloderma",0.000181249117994375,0.07066189143086,-8.60681458201539,-5.96578926112619,13.8251629105654,-0.431516742313904,0.666092681711959
"359","Pilodermataceae",0.000181249117994375,0.07066189143086,-8.60681458201539,-5.96578926112619,13.8251629105654,-0.431516742313904,0.666092681711959
"360","Piskurozyma",0.00156746146548576,0.0201725649791359,-3.68589265564783,-2.5548661021089,3.71613595563813,-0.687506090360514,0.491763864163789
"361","Piskurozymaceae",0.00732582112376463,0.0122380164771983,-0.740307366746059,-0.513141964007789,1.83592838131168,-0.279499989885866,0.779861145779044
"362","Plectosphaerellaceae",0.0161255348555283,0.00760082785922159,1.08511854676277,0.752146861261917,3.38582934339678,0.222145532151168,0.824200593714351
"363","Pleosporaceae",0.0601904016907081,0.00904696601273041,2.73402748811068,1.8950834449573,2.01978076843366,0.938261951284417,0.348109808099128
"364","Pleosporales",0.446555739690648,0.0303983956921433,3.87677317471388,2.68717439572335,1.09208635063237,2.46058784103231,0.013870961197436
"365","Podospora",0.0033059392009469,0.00304033114368863,0.120831726262129,0.0837541703807863,5.55397543292321,0.0150800397647247,0.987968325112878
"366","Podosporaceae",0.00448786348531747,0.00456049671553295,-0.0231621751360193,-0.0160547963911665,4.49192029284379,-0.00357414988345717,0.997148247061638
